Date,Temperature,City
1/1/2024,2.6,Kiev
1/1/2024,5.6,Paris
1/1/2024,15.6,Antibes
1/2/2024,20.38,Kiev
1/2/2024,23.38,Paris
1/2/2024,33.38,Antibes
1/3/2024,-6.64,Kiev
1/3/2024,-3.64,Paris
1/3/2024,6.36,Antibes
1/4/2024,25.82,Kiev
1/4/2024,28.82,Paris
1/4/2024,38.82,Antibes
1/5/2024,26.37,Kiev
1/5/2024,29.37,Paris
1/5/2024,39.37,Antibes
1/6/2024,27.12,Kiev
1/6/2024,30.12,Paris
1/6/2024,40.12,Antibes
1/7/2024,11.5,Kiev
1/7/2024,14.5,Paris
1/7/2024,24.5,Antibes
1/8/2024,14.39,Kiev
1/8/2024,17.39,Paris
1/8/2024,27.39,Antibes
1/9/2024,17.5,Kiev
1/9/2024,20.5,Paris
1/9/2024,30.5,Antibes
1/10/2024,10.21,Kiev
1/10/2024,13.21,Paris
1/10/2024,23.21,Antibes
1/11/2024,-6.54,Kiev
1/11/2024,-3.54,Paris
1/11/2024,6.46,Antibes
1/12/2024,25.25,Kiev
1/12/2024,28.25,Paris
1/12/2024,38,Antibes
1/13/2024,3.71,Kiev
1/13/2024,6.71,Paris
1/13/2024,16.71,Antibes
1/14/2024,-0.87,Kiev
1/14/2024,2.13,Paris
1/14/2024,12.13,Antibes
1/15/2024,26.08,Kiev
1/15/2024,29.08,Paris
1/15/2024,38,Antibes
1/16/2024,24.37,Kiev
1/16/2024,27.37,Paris
1/16/2024,34.37,Antibes
1/17/2024,15.18,Kiev
1/17/2024,18.18,Paris
1/17/2024,25.18,Antibes
1/18/2024,20.9,Kiev
1/18/2024,23.9,Paris
1/18/2024,30.9,Antibes
1/19/2024,5.66,Kiev
1/19/2024,8.66,Paris
1/19/2024,15.66,Antibes
1/20/2024,25.3,Kiev
1/20/2024,28.3,Paris
1/20/2024,35.3,Antibes
1/21/2024,12.39,Kiev
1/21/2024,15.39,Paris
1/21/2024,22.39,Antibes
1/22/2024,23.84,Kiev
1/22/2024,26.84,Paris
1/22/2024,33.84,Antibes
1/23/2024,14.99,Kiev
1/23/2024,17.99,Paris
1/23/2024,24.99,Antibes
1/24/2024,25.86,Kiev
1/24/2024,28.86,Paris
1/24/2024,35.86,Antibes
1/25/2024,8.6,Kiev
1/25/2024,11.6,Paris
1/25/2024,18.6,Antibes
1/26/2024,1.17,Kiev
1/26/2024,4.17,Paris
1/26/2024,11.17,Antibes
1/27/2024,25.57,Kiev
1/27/2024,28.57,Paris
1/27/2024,35.57,Antibes
1/28/2024,-5.92,Kiev
1/28/2024,-2.92,Paris
1/28/2024,4.08,Antibes
1/29/2024,3.74,Kiev
1/29/2024,6.74,Paris
1/29/2024,13.74,Antibes
1/30/2024,27.39,Kiev
1/30/2024,30.39,Paris
1/30/2024,37.39,Antibes
1/31/2024,-8.42,Kiev
1/31/2024,-5.42,Paris
1/31/2024,1.58,Antibes
2/1/2024,17.83,Kiev
2/1/2024,20.83,Paris
2/1/2024,27.83,Antibes
2/2/2024,6.49,Kiev
2/2/2024,9.49,Paris
2/2/2024,16.49,Antibes
2/3/2024,1.78,Kiev
2/3/2024,4.78,Paris
2/3/2024,11.78,Antibes
2/4/2024,-7.05,Kiev
2/4/2024,-4.05,Paris
2/4/2024,2.95,Antibes
2/5/2024,4.96,Kiev
2/5/2024,7.96,Paris
2/5/2024,14.96,Antibes
2/6/2024,6.93,Kiev
2/6/2024,9.93,Paris
2/6/2024,16.93,Antibes
2/7/2024,28.26,Kiev
2/7/2024,31.26,Paris
2/7/2024,38.26,Antibes
2/8/2024,11.07,Kiev
2/8/2024,14.07,Paris
2/8/2024,21.07,Antibes
2/9/2024,24.83,Kiev
2/9/2024,27.83,Paris
2/9/2024,34.83,Antibes
2/10/2024,2.25,Kiev
2/10/2024,5.25,Paris
2/10/2024,12.25,Antibes
2/11/2024,-1.61,Kiev
2/11/2024,1.39,Paris
2/11/2024,8.39,Antibes
2/12/2024,-0.82,Kiev
2/12/2024,2.18,Paris
2/12/2024,9.18,Antibes
2/13/2024,5.41,Kiev
2/13/2024,8.41,Paris
2/13/2024,15.41,Antibes
2/14/2024,21.16,Kiev
2/14/2024,24.16,Paris
2/14/2024,31.16,Antibes
2/15/2024,-2.94,Kiev
2/15/2024,0.06,Paris
2/15/2024,7.06,Antibes
2/16/2024,27.05,Kiev
2/16/2024,30.05,Paris
2/16/2024,37.05,Antibes
2/17/2024,-9.18,Kiev
2/17/2024,-6.18,Paris
2/17/2024,0.82,Antibes
2/18/2024,-2.32,Kiev
2/18/2024,0.68,Paris
2/18/2024,7.68,Antibes
2/19/2024,9.32,Kiev
2/19/2024,12.32,Paris
2/19/2024,19.32,Antibes
2/20/2024,27.43,Kiev
2/20/2024,30.43,Paris
2/20/2024,37.43,Antibes
2/21/2024,0.43,Kiev
2/21/2024,3.43,Paris
2/21/2024,10.43,Antibes
2/22/2024,17.22,Kiev
2/22/2024,20.22,Paris
2/22/2024,27.22,Antibes
2/23/2024,27.89,Kiev
2/23/2024,30.89,Paris
2/23/2024,37.89,Antibes
2/24/2024,20.77,Kiev
2/24/2024,23.77,Paris
2/24/2024,30.77,Antibes
2/25/2024,18.37,Kiev
2/25/2024,21.37,Paris
2/25/2024,28.37,Antibes
2/26/2024,11.5,Kiev
2/26/2024,14.5,Paris
2/26/2024,21.5,Antibes
2/27/2024,16.81,Kiev
2/27/2024,19.81,Paris
2/27/2024,26.81,Antibes
2/28/2024,-1.52,Kiev
2/28/2024,1.48,Paris
2/28/2024,8.48,Antibes
2/29/2024,-1.92,Kiev
2/29/2024,1.08,Paris
2/29/2024,8.08,Antibes
3/1/2024,-1.14,Kiev
3/1/2024,1.86,Paris
3/1/2024,8.86,Antibes
3/2/2024,10.21,Kiev
3/2/2024,13.21,Paris
3/2/2024,20.21,Antibes
3/3/2024,18.94,Kiev
3/3/2024,21.94,Paris
3/3/2024,28.94,Antibes
3/4/2024,10.12,Kiev
3/4/2024,13.12,Paris
3/4/2024,20.12,Antibes
3/5/2024,25.11,Kiev
3/5/2024,28.11,Paris
3/5/2024,35.11,Antibes
3/6/2024,5.12,Kiev
3/6/2024,8.12,Paris
3/6/2024,15.12,Antibes
3/7/2024,8.02,Kiev
3/7/2024,11.02,Paris
3/7/2024,18.02,Antibes
3/8/2024,-5.77,Kiev
3/8/2024,-2.77,Paris
3/8/2024,4.23,Antibes
3/9/2024,10.87,Kiev
3/9/2024,13.87,Paris
3/9/2024,20.87,Antibes
3/10/2024,24.42,Kiev
3/10/2024,27.42,Paris
3/10/2024,34.42,Antibes
3/11/2024,5.95,Kiev
3/11/2024,8.95,Paris
3/11/2024,15.95,Antibes
3/12/2024,-7.88,Kiev
3/12/2024,-4.88,Paris
3/12/2024,2.12,Antibes
3/13/2024,6.13,Kiev
3/13/2024,9.13,Paris
3/13/2024,16.13,Antibes
3/14/2024,25.87,Kiev
3/14/2024,28.87,Paris
3/14/2024,35.87,Antibes
3/15/2024,16.27,Kiev
3/15/2024,19.27,Paris
3/15/2024,26.27,Antibes
3/16/2024,-3.55,Kiev
3/16/2024,-0.55,Paris
3/16/2024,11.45,Antibes
3/17/2024,-2.63,Kiev
3/17/2024,0.37,Paris
3/17/2024,12.37,Antibes
3/18/2024,1.43,Kiev
3/18/2024,4.43,Paris
3/18/2024,15.37,Antibes
3/19/2024,8.56,Kiev
3/19/2024,11.56,Paris
3/19/2024,22,Antibes
3/20/2024,15.96,Kiev
3/20/2024,18.96,Paris
3/20/2024,28,Antibes
3/21/2024,0.2,Kiev
3/21/2024,3.2,Paris
3/21/2024,13.2,Antibes
3/22/2024,-8.4,Kiev
3/22/2024,-5.4,Paris
3/22/2024,4.6,Antibes
3/23/2024,18.98,Kiev
3/23/2024,21.98,Paris
3/23/2024,30,Antibes
3/24/2024,10.08,Kiev
3/24/2024,13.08,Paris
3/24/2024,23.08,Antibes
3/25/2024,21.24,Kiev
3/25/2024,24.24,Paris
3/25/2024,35,Antibes
3/26/2024,28.14,Kiev
3/26/2024,31.14,Paris
3/26/2024,40,Antibes
3/27/2024,13.67,Kiev
3/27/2024,16.67,Paris
3/27/2024,25,Antibes
3/28/2024,-2.46,Kiev
3/28/2024,0.54,Paris
3/28/2024,10.54,Antibes
3/29/2024,-0.16,Kiev
3/29/2024,2.84,Paris
3/29/2024,12.84,Antibes
3/30/2024,18.77,Kiev
3/30/2024,21.77,Paris
3/30/2024,30,Antibes
3/31/2024,-6.71,Kiev
3/31/2024,-3.71,Paris
3/31/2024,6.29,Antibes
4/1/2024,-9.13,Kiev
4/1/2024,-6.13,Paris
4/1/2024,3.87,Antibes
4/2/2024,29,Kiev
4/2/2024,32,Paris
4/2/2024,42,Antibes
4/3/2024,18.92,Kiev
4/3/2024,21.92,Paris
4/3/2024,35,Antibes
4/4/2024,18.23,Kiev
4/4/2024,21.23,Paris
4/4/2024,35,Antibes
4/5/2024,13.83,Kiev
4/5/2024,16.83,Paris
4/5/2024,25,Antibes
4/6/2024,26.78,Kiev
4/6/2024,29.78,Paris
4/6/2024,40,Antibes
4/7/2024,7.29,Kiev
4/7/2024,10.29,Paris
4/7/2024,20.29,Antibes
4/8/2024,29.73,Kiev
4/8/2024,32.73,Paris
4/8/2024,40,Antibes
4/9/2024,0.98,Kiev
4/9/2024,3.98,Paris
4/9/2024,13.98,Antibes
